note_id,id,front_text,front_html,tags,extra,vignette,teaching_case,ref_img_position,source_ref,status,needs_review,section_heading,topic_tree,curriculum_topic_path
1781531588524,18,Preeclampsia is a pregnancy-specific hypertensive disorder that develops after 20 weeks of gestation and can occur up to 6 weeks postpartum.,"<b>Preeclampsia</b> is a pregnancy-specific hypertensive disorder that develops after <span style=""color:#1f77b4""><b>{{c1::20}}</b></span> weeks of gestation and can occur up to <span style=""color:#1f77b4""><b>{{c1::6}}</b></span> weeks postpartum.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP",,,,front,P3,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588525,19,Preeclampsia is defined by new-onset hypertension (blood pressure ≥140/90 mmHg) and proteinuria (≥300 mg in 24 hours or ≥+1 on dipstick),"<b>Preeclampsia</b> is defined by new-onset <span style=""color:#1f77b4""><b>{{c1::hypertension}}</b></span> (blood pressure ≥<span style=""color:#1f77b4""><b>{{c1::140/90}}</b></span> mmHg) and <span style=""color:#1f77b4""><b>{{c1::proteinuria}}</b></span> (≥<span style=""color:#1f77b4""><b>{{c1::300 mg}}</b></span> in 24 hours or ≥<span style=""color:#1f77b4""><b>{{c1::+1}}</b></span> on dipstick)","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP",,,,front,P4,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588526,20,"Mild preeclampsia: blood pressure ranges between 140/90 mmHg and 160/110 mmHg, with proteinuria greater than 300 mg in 24 hours or a dipstick reading of +1.","<b>Mild preeclampsia</b>: blood pressure ranges between <span style=""color:#1f77b4""><b>{{c1::140/90}}</b></span> mmHg and <span style=""color:#1f77b4""><b>{{c1::160/110}}</b></span> mmHg, with proteinuria greater than <span style=""color:#1f77b4""><b>{{c1::300}}</b></span> mg in 24 hours or a dipstick reading of <span style=""color:#1f77b4""><b>{{c1::+1}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP","Other mild preeclampsia features: <br>• edema (hands, face, lower extremities)<br>• most patients asymptomatic<br>• some report mild headaches or visual disturbances.",,,front,P6,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588527,21,"Mild preeclampsia: Experience edema, particularly in the hands, feet, and lower extremities.  Most patients are asymptomatic, though some may report mild headaches or visual disturbances.","<b>Mild preeclampsia</b>: Experience edema, particularly in the <span style=""color:#1f77b4""><b>{{c1::hands}}</b></span>, <span style=""color:#1f77b4""><b>{{c1::feet}}</b></span>, and <span style=""color:#1f77b4""><b>{{c1::lower extremities}}</b></span>.  Most patients are <span style=""color:#1f77b4""><b>{{c1::asymptomatic}}</b></span>, though some may report mild headaches or visual disturbances.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP",Other mild preeclampsia features: <br>• BP 140/90–160/110 mmHg<br>• proteinuria >300 mg/24h or +1 dipstick.,,,front,P6,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588528,22,"The only definitive cure for preeclampsia is delivery of the fetus and placenta, because the condition originates from placental dysfunction.","The only definitive cure for <b>preeclampsia</b> is <span style=""color:#1f77b4""><b>{{c1::delivery}}</b></span> of the fetus and placenta, because the condition originates from <span style=""color:#1f77b4""><b>{{c1::placental dysfunction}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP",,,,front,P7,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588529,23,"Mild preeclampsia management: for patients at ≥37 weeks gestation, induction of labor is recommended to prevent progression.","<b>Mild preeclampsia management</b>: for patients at ≥<span style=""color:#1f77b4""><b>{{c1::37}}</b></span> weeks gestation, <span style=""color:#1f77b4""><b>{{c1::induction of labor}}</b></span> is recommended to prevent progression.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP","Other mild preeclampsia management: if diagnosed around 26–30 weeks, administer antenatal corticosteroids (betamethasone) to accelerate fetal lung maturity before delivery.",,,front,P8,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588530,24,"Mild preeclampsia management: if diagnosed around 26–30 weeks gestation, antenatal corticosteroids such as betamethasone are administered to accelerate fetal lung maturity before delivery.","<b>Mild preeclampsia management</b>: if diagnosed around <span style=""color:#1f77b4""><b>{{c1::26–30}}</b></span> weeks gestation, <span style=""color:#1f77b4""><b>{{c1::antenatal corticosteroids}}</b></span> such as <span style=""color:#1f77b4""><b>{{c1::betamethasone}}</b></span> are administered to accelerate fetal lung maturity before delivery.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP","Other mild preeclampsia management: at ≥37 weeks, induction of labor is recommended.",,,front,P8,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588531,25,Severe preeclampsia is characterized by blood pressure greater than 160/110 mmHg and proteinuria exceeding 5 g in 24 hours or ≥+3 on dipstick.,"<b>Severe preeclampsia</b> is characterized by blood pressure greater than <span style=""color:#1f77b4""><b>{{c1::160/110}}</b></span> mmHg and proteinuria exceeding <span style=""color:#1f77b4""><b>{{c1::5}}</b></span> g in 24 hours or ≥<span style=""color:#1f77b4""><b>{{c1::+3}}</b></span> on dipstick.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP","Other severe preeclampsia features: severe headaches, visual disturbances, right upper quadrant or epigastric pain (liver involvement), pulmonary edema, decreased urine output.",,,front,P10,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588532,26,"Severe preeclampsia systemic symptoms include severe headaches, visual disturbances, right upper quadrant or epigastric pain (reflecting liver involvement), pulmonary edema, and decreased urine output.","<b>Severe preeclampsia</b> systemic symptoms include severe headaches, <span style=""color:#1f77b4""><b>{{c1::visual disturbances}}</b></span>, <span style=""color:#1f77b4""><b>{{c1::right upper quadrant}}</b></span> or <span style=""color:#1f77b4""><b>{{c1::epigastric pain}}</b></span> (reflecting liver involvement), <span style=""color:#1f77b4""><b>{{c1::pulmonary edema}}</b></span>, and <span style=""color:#1f77b4""><b>{{c1::decreased urine output}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP",Other severe preeclampsia features: <br>• BP >160/110 mmHg<br>• proteinuria >5 g/24h or ≥+3 dipstick.,,,front,P10,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
1781531588533,27,"Severe preeclampsia management: the cornerstone of treatment is intravenous magnesium sulfate, which prevents the onset of seizures.","<b>Severe preeclampsia management</b>: the cornerstone of treatment is intravenous <span style=""color:#1f77b4""><b>{{c1::magnesium sulfate}}</b></span>, which prevents the onset of <span style=""color:#1f77b4""><b>{{c1::seizures}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Eclampsia/HELLP",Other severe preeclampsia management: • BP control with hydralazine or labetalol if >180/110 mmHg<br>• delivery at 34–36 weeks<br>• corticosteroids if <34 weeks.,,,front,P11,active,False,Eclampsia / HELLP,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Eclampsia/HELLP"
