note_id,id,front_text,front_html,tags,extra,vignette,teaching_case,ref_img_position,source_ref,status,needs_review,section_heading,topic_tree,curriculum_topic_path
1781531588667,161,"Gestational trophoblastic disease (GTD) refers to a spectrum of disorders arising from abnormal proliferation of placental trophoblastic tissue, encompassing both benign forms such as molar pregnancies and malignant forms such as invasive moles and choriocarcinoma.","<b>Gestational trophoblastic disease (GTD)</b> refers to a spectrum of disorders arising from abnormal proliferation of <span style=""color:#1f77b4""><b>{{c1::placental trophoblastic}}</b></span> tissue, encompassing both benign forms such as molar pregnancies and malignant forms such as invasive moles and choriocarcinoma.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",,,,front,P1-P2,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588668,162,"A hallmark of gestational trophoblastic disease (GTD) is markedly elevated beta-hCG levels, often much higher than expected for gestational age.","A hallmark of <b>gestational trophoblastic disease (GTD)</b> is markedly elevated <span style=""color:#1f77b4""><b>{{c1::beta-hCG}}</b></span> levels, often much higher than expected for gestational age.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",,,,front,P3,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588669,163,"In gestational trophoblastic disease (GTD), excessive hCG stimulates the thyroid because hCG shares structural similarity with TSH, leading to hyperthyroid symptoms.","In <b>gestational trophoblastic disease (GTD)</b>, excessive hCG stimulates the thyroid because hCG shares structural similarity with <span style=""color:#1f77b4""><b>{{c1::TSH}}</b></span>, leading to hyperthyroid symptoms.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",,,,front,P3,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588670,164,"In gestational trophoblastic disease (GTD), elevated hCG causes exaggerated pregnancy symptoms including severe nausea and vomiting, (hyperemesis gravidarum), and a uterus larger than expected for gestational age.","In <b>gestational trophoblastic disease (GTD)</b>, elevated hCG causes exaggerated pregnancy symptoms including severe nausea and vomiting, (<span style=""color:#1f77b4""><b>{{c1::hyperemesis gravidarum}}</b></span>), and a uterus larger than expected for gestational age.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",,,,front,P3,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588671,165,"Risk factor for gestational trophoblastic disease (GTD): Maternal age extremes, specifically younger than 20 years or older than 35 years.","<b>Risk factor for gestational trophoblastic disease (GTD):</b> Maternal age extremes, specifically younger than <span style=""color:#1f77b4""><b>{{c1::20}}</b></span> years or older than <span style=""color:#1f77b4""><b>{{c1::35}}</b></span> years.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",Other risk factors for GTD: <br>• Previous molar pregnancy (highest risk for recurrence)<br>• history of miscarriage<br>• Asian ethnicity.,,,front,P5,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588672,166,Risk factor for gestational trophoblastic disease (GTD): Previous molar pregnancy is the highest risk factor for recurrence.,"<b>Risk factor for gestational trophoblastic disease (GTD):</b> Previous <span style=""color:#1f77b4""><b>{{c1::molar pregnancy}}</b></span> is the highest risk factor for recurrence.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",Other risk factors for GTD: <br>• Maternal age extremes (younger than 20 or older than 35 years)<br>• history of miscarriage<br>• Asian ethnicity.,,,front,P6,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588673,167,Risk factor for gestational trophoblastic disease (GTD): History of miscarriage is associated with increased GTD risk.,"<b>Risk factor for gestational trophoblastic disease (GTD):</b> History of <span style=""color:#1f77b4""><b>{{c1::miscarriage}}</b></span> is associated with increased GTD risk.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",Other risk factors for GTD: <br>• Maternal age extremes (younger than 20 or older than 35 years)<br>• previous molar pregnancy (highest risk for recurrence)<br>• Asian ethnicity.,,,front,P7,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588674,168,Risk factor for gestational trophoblastic disease (GTD): Asian ethnicity is associated with a slightly higher incidence of GTD in some populations.,"<b>Risk factor for gestational trophoblastic disease (GTD):</b> <span style=""color:#1f77b4""><b>{{c1::Asian}}</b></span> ethnicity is associated with a slightly higher incidence of GTD in some populations.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",Other risk factors for GTD: <br>• Maternal age extremes (younger than 20 or older than 35 years)<br>• previous molar pregnancy (highest risk for recurrence)<br>• history of miscarriage.,,,front,P8,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588675,169,"A complete mole occurs when an ""empty"" ovum with no maternal DNA is fertilized by one sperm that duplicates its chromosomes or by two sperm, resulting in 46,XX or 46,XY paternal-only genetic material.","A <b>complete mole</b> occurs when an ""empty"" ovum with no maternal DNA is fertilized by one sperm that duplicates its chromosomes or by two sperm, resulting in <span style=""color:#1f77b4""><b>{{c1::46,XX}}</b></span> or <span style=""color:#1f77b4""><b>{{c1::46,XY}}</b></span> paternal-only genetic material.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",,,,front,P12,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588676,170,Complete mole feature: No fetal tissue is present.,"<b>Complete mole feature:</b> <span style=""color:#1f77b4""><b>{{c1::No}}</b></span> fetal tissue is present.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease","Other complete mole features: <br>• Diffuse swelling of chorionic villi giving a ""grape-like"" or ""snowstorm"" appearance<br>• markedly elevated hCG (often greater than 100,000 mIU/mL)<br>• uterus larger than expected for gestational age<br>• vaginal bleeding, positive pregnancy test, missed periods<br>• may present with early-onset preeclampsia (before 20 weeks) or hyperthyroid symptoms due to hCG cross-reactivity.",,,front,P14,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588677,171,"Complete mole feature: Diffuse swelling of chorionic villi produces a ""grape-like"" or ""snowstorm"" appearance.","<b>Complete mole feature:</b> Diffuse swelling of chorionic villi produces a <span style=""color:#1f77b4""><b>{{c1::""grape-like""}}</b></span> or <span style=""color:#1f77b4""><b>{{c1::""snowstorm""}}</b></span> appearance.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease","Other complete mole features: <br>• No fetal tissue present<br>• markedly elevated hCG (often greater than 100,000 mIU/mL)<br>• uterus larger than expected for gestational age<br>• vaginal bleeding, positive pregnancy test, missed periods<br>• may present with early-onset preeclampsia (before 20 weeks) or hyperthyroid symptoms due to hCG cross-reactivity.",,,front,P15,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588678,172,"Complete mole feature: hCG is markedly elevated, often greater than 100,000 mIU/mL.","<b>Complete mole feature:</b> hCG is markedly elevated, often greater than <span style=""color:#1f77b4""><b>{{c1::100,000}}</b></span> mIU/mL.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease","Other complete mole features: <br>• No fetal tissue present<br>• diffuse swelling of chorionic villi giving a ""grape-like"" or ""snowstorm"" appearance<br>• uterus larger than expected for gestational age<br>• vaginal bleeding, positive pregnancy test, missed periods<br>• may present with early-onset preeclampsia (before 20 weeks) or hyperthyroid symptoms due to hCG cross-reactivity.",,,front,P16,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588679,173,Complete mole feature: The uterus is larger than expected for gestational age.,"<b>Complete mole feature:</b> The uterus is <span style=""color:#1f77b4""><b>{{c1::larger than expected}}</b></span> for gestational age.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease","Other complete mole features: <br>• No fetal tissue present<br>• diffuse swelling of chorionic villi giving a ""grape-like"" or ""snowstorm"" appearance<br>• markedly elevated hCG (often greater than 100,000 mIU/mL)<br>• vaginal bleeding, positive pregnancy test, missed periods<br>• may present with early-onset preeclampsia (before 20 weeks) or hyperthyroid symptoms due to hCG cross-reactivity.",,,front,P17,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588680,174,"Complete mole feature: Clinical presentation includes vaginal bleeding, positive pregnancy test, and missed periods.","<b>Complete mole feature:</b> Clinical presentation includes <span style=""color:#1f77b4""><b>{{c1::vaginal bleeding}}</b></span>, positive pregnancy test, and missed periods.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease","Other complete mole features: <br>• No fetal tissue present<br>• diffuse swelling of chorionic villi giving a ""grape-like"" or ""snowstorm"" appearance<br>• markedly elevated hCG (often greater than 100,000 mIU/mL)<br>• uterus larger than expected for gestational age<br>• may present with early-onset preeclampsia (before 20 weeks) or hyperthyroid symptoms due to hCG cross-reactivity.",,,front,P18,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588681,175,Complete mole feature: May present with early-onset preeclampsia (before 20 weeks) or hyperthyroid symptoms due to hCG cross-reactivity.,"<b>Complete mole feature:</b> May present with early-onset <span style=""color:#1f77b4""><b>{{c1::preeclampsia}}</b></span> (before <span style=""color:#1f77b4""><b>{{c1::20}}</b></span> weeks) or hyperthyroid symptoms due to hCG cross-reactivity.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease","Other complete mole features: <br>• No fetal tissue present<br>• diffuse swelling of chorionic villi giving a ""grape-like"" or ""snowstorm"" appearance<br>• markedly elevated hCG (often greater than 100,000 mIU/mL)<br>• uterus larger than expected for gestational age<br>• vaginal bleeding, positive pregnancy test, missed periods.",,,front,P19,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
1781531588682,176,"An incomplete mole occurs when a normal ovum is fertilized by two sperm, leading to triploidy with karyotypes of 69,XXY, 69,XXX, or 69,XYY.","An <b>incomplete mole</b> occurs when a normal ovum is fertilized by two sperm, leading to <span style=""color:#1f77b4""><b>{{c1::triploidy}}</b></span> with karyotypes of <span style=""color:#1f77b4""><b>{{c1::69,XXY}}</b></span>, <span style=""color:#1f77b4""><b>{{c1::69,XXX}}</b></span>, or <span style=""color:#1f77b4""><b>{{c1::69,XYY}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational trophoblastic disease",,,,front,P21,active,False,Gestational Trophoblastic Disease,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational trophoblastic disease"
