note_id,id,front_text,front_html,tags,extra,vignette,teaching_case,ref_img_position,source_ref,status,needs_review,section_heading,topic_tree,curriculum_topic_path
1781531588596,90,"An ectopic pregnancy occurs when a fertilized egg implants outside the uterine cavity, preventing normal embryo development.","An <b>ectopic pregnancy</b> occurs when a fertilized egg implants <span style=""color:#1f77b4""><b>{{c1::outside the uterine cavity}}</b></span>, preventing normal embryo development.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P2,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588597,91,"Approximately 95% of ectopic pregnancies occur in the fallopian tube, most commonly in the ampulla (the widest section of the tube).","Approximately <span style=""color:#1f77b4""><b>{{c1::95}}</b></span>% of <b>ectopic pregnancies</b> occur in the <span style=""color:#1f77b4""><b>{{c1::fallopian tube}}</b></span>, most commonly in the <span style=""color:#1f77b4""><b>{{c1::ampulla}}</b></span> (the widest section of the tube).","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P2,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588598,92,"The most common site of ectopic pregnancy within the fallopian tube is the ampulla, which is the widest section of the tube.","The most common site of <b>ectopic pregnancy</b> within the fallopian tube is the <span style=""color:#1f77b4""><b>{{c1::ampulla}}</b></span>, which is the widest section of the tube.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P2,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588599,93,"Ectopic pregnancy causes tubal rupture because the fallopian tube cannot expand like the uterus, leading to internal bleeding and a life-threatening emergency.","<b>Ectopic pregnancy</b> causes tubal rupture because the <span style=""color:#1f77b4""><b>{{c1::fallopian tube}}</b></span> cannot expand like the uterus, leading to internal bleeding and a life-threatening emergency.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P2,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588600,94,"The classic triad of ectopic pregnancy consists of abdominal pain, vaginal bleeding, and amenorrhea.","The classic triad of <b>ectopic pregnancy</b> consists of <span style=""color:#1f77b4""><b>{{c1::abdominal pain}}</b></span>, <span style=""color:#1f77b4""><b>{{c1::vaginal bleeding}}</b></span>, and <span style=""color:#1f77b4""><b>{{c1::amenorrhea}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P4,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588601,95,"In ectopic pregnancy, abdominal pain is typically unilateral and may radiate to the shoulder or back if blood irritates the diaphragm after tubal rupture.","In <b>ectopic pregnancy</b>, abdominal pain is typically <span style=""color:#1f77b4""><b>{{c1::unilateral}}</b></span> and may radiate to the <span style=""color:#1f77b4""><b>{{c1::shoulder}}</b></span> or <span style=""color:#1f77b4""><b>{{c1::back}}</b></span> if blood irritates the diaphragm after tubal rupture.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P4,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588602,96,Shoulder pain in ectopic pregnancy results from phrenic nerve irritation due to intra-abdominal bleeding.,"Shoulder pain in <b>ectopic pregnancy</b> results from <span style=""color:#1f77b4""><b>{{c1::phrenic nerve}}</b></span> irritation due to <span style=""color:#1f77b4""><b>{{c1::intra-abdominal bleeding}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P4,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588603,97,"In ectopic pregnancy with significant bleeding, the patient may report dizziness, syncope, or weakness.","In <b>ectopic pregnancy</b> with significant bleeding, the patient may report <span style=""color:#1f77b4""><b>{{c1::dizziness}}</b></span>, <span style=""color:#1f77b4""><b>{{c1::syncope}}</b></span>, or <span style=""color:#1f77b4""><b>{{c1::weakness}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P4,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588604,98,"On physical exam, ectopic pregnancy may reveal tenderness, an adnexal mass, or signs of peritonitis such as rigid abdomen, guarding, and rebound tenderness.","On physical exam, <b>ectopic pregnancy</b> may reveal <span style=""color:#1f77b4""><b>{{c1::tenderness}}</b></span>, an <span style=""color:#1f77b4""><b>{{c1::adnexal mass}}</b></span>, or signs of <span style=""color:#1f77b4""><b>{{c1::peritonitis}}</b></span> such as rigid abdomen, guarding, and rebound tenderness.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P4,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
1781531588605,99,"A ruptured ectopic pregnancy may present with signs of shock including tachycardia, hypotension, pallor, and orthostatic changes, constituting a medical emergency.","A <b>ruptured ectopic pregnancy</b> may present with signs of shock including <span style=""color:#1f77b4""><b>{{c1::tachycardia}}</b></span>, <span style=""color:#1f77b4""><b>{{c1::hypotension}}</b></span>, <span style=""color:#1f77b4""><b>{{c1::pallor}}</b></span>, and <span style=""color:#1f77b4""><b>{{c1::orthostatic changes}}</b></span>, constituting a medical emergency.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Ectopic pregnancy",,,,front,P4,active,False,Ectopic Pregnancy,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Ectopic pregnancy"
