note_id,id,front_text,front_html,tags,extra,vignette,teaching_case,ref_img_position,source_ref,status,needs_review,section_heading,topic_tree,curriculum_topic_path
1781531588568,62,Gestational diabetes mellitus (GDM) refers to glucose intolerance that develops or is first recognized during pregnancy.,"<b>Gestational diabetes mellitus (GDM)</b> refers to <span style=""color:#1f77b4""><b>{{c1::glucose intolerance}}</b></span> that develops or is first recognized during <span style=""color:#1f77b4""><b>{{c1::pregnancy}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes",,,,front,P2,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588569,63,"In gestational diabetes mellitus (GDM), insulin resistance arises in the second half of pregnancy due to placental hormones including human placental lactogen, estrogen, and progesterone.","In <b>gestational diabetes mellitus (GDM)</b>, insulin resistance arises in the <span style=""color:#1f77b4""><b>{{c1::second half}}</b></span> of pregnancy due to placental hormones including <span style=""color:#1f77b4""><b>{{c1::human placental lactogen}}</b></span>, <span style=""color:#1f77b4""><b>{{c1::estrogen}}</b></span>, and <span style=""color:#1f77b4""><b>{{c1::progesterone}}</b></span>.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes",,,,front,P2,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588570,64,"Most patients with gestational diabetes mellitus (GDM) are asymptomatic, making routine screening essential.","Most patients with <b>gestational diabetes mellitus (GDM)</b> are <span style=""color:#1f77b4""><b>{{c1::asymptomatic}}</b></span>, making routine screening essential.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes",,,,front,P2,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588571,65,Women who develop gestational diabetes mellitus (GDM) are at higher risk for developing type 2 diabetes later in life.,"Women who develop <b>gestational diabetes mellitus (GDM)</b> are at higher risk for developing <span style=""color:#1f77b4""><b>{{c1::type 2 diabetes}}</b></span> later in life.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes",,,,front,P2,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588572,66,"All pregnant women should be screened for diabetes at their first prenatal visit to rule out preexisting type 2 diabetes. If initial testing is normal, repeat screening is performed at 24 to 28 weeks of gestation, when insulin resistance peaks.","All pregnant women should be screened for diabetes at their <span style=""color:#1f77b4""><b>{{c1::first prenatal visit}}</b></span> to rule out preexisting type 2 diabetes. If initial testing is normal, repeat screening is performed at <span style=""color:#1f77b4""><b>{{c1::24 to 28}}</b></span> weeks of gestation, when insulin resistance peaks.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes",,,,front,P3,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588573,67,"The first step in gestational diabetes mellitus (GDM) screening is a 50-gram 1-hour glucose challenge test, which is administered in a nonfasting state.","The first step in <b>gestational diabetes mellitus (GDM) screening</b> is a <span style=""color:#1f77b4""><b>{{c1::50-gram}}</b></span> <span style=""color:#1f77b4""><b>{{c1::1-hour}}</b></span> glucose challenge test, which is administered in a <span style=""color:#1f77b4""><b>{{c1::nonfasting}}</b></span> state.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes",,,,front,P4,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588574,68,"On the 50-gram 1-hour glucose challenge test, a blood glucose value of ≥130–140 mg/dL is considered abnormal and requires confirmation with a 3-hour oral glucose tolerance test (OGTT).","On the 50-gram 1-hour glucose challenge test, a blood glucose value of <span style=""color:#1f77b4""><b>{{c1::≥130–140}}</b></span> mg/dL is considered abnormal and requires confirmation with a 3-hour oral glucose tolerance test (OGTT).","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes",,,,front,P4,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588575,69,"The confirmatory 3-hour oral glucose tolerance test (OGTT) for gestational diabetes mellitus (GDM) requires fasting for at least 8 hours overnight, followed by ingestion of 100 grams of glucose, with blood glucose measured at fasting, 1 hour, 2 hours, and 3 hours.","The confirmatory 3-hour oral glucose tolerance test (OGTT) for <b>gestational diabetes mellitus (GDM)</b> requires fasting for at least <span style=""color:#1f77b4""><b>{{c1::8}}</b></span> hours overnight, followed by ingestion of <span style=""color:#1f77b4""><b>{{c1::100}}</b></span> grams of glucose, with blood glucose measured at fasting, 1 hour, 2 hours, and 3 hours.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes",,,,front,P5,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588576,70,Gestational diabetes mellitus (GDM) is diagnosed on the 3-hour oral glucose tolerance test (OGTT) when two or more of the diagnostic thresholds are met or exceeded.,"<b>Gestational diabetes mellitus (GDM)</b> is diagnosed on the 3-hour oral glucose tolerance test (OGTT) when <span style=""color:#1f77b4""><b>{{c1::two or more}}</b></span> of the diagnostic thresholds are met or exceeded.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes","Other thresholds: Fasting ≥95 mg/dL, 1-hour ≥180 mg/dL, 2-hour ≥155 mg/dL, 3-hour ≥140 mg/dL",,,front,P5,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
1781531588577,71,"On the 3-hour oral glucose tolerance test (OGTT) for gestational diabetes mellitus (GDM), the fasting threshold for diagnosis is ≥95 mg/dL.","On the 3-hour oral glucose tolerance test (OGTT) for gestational diabetes mellitus (GDM), the <b>fasting</b> threshold for diagnosis is <span style=""color:#1f77b4""><b>{{c1::≥95}}</b></span> mg/dL.","Gynecologic, Sexual, and Reproductive Health,Prenatal Care/Pregnancy – 20%,Gestational diabetes","Other diagnostic thresholds: 1-hour ≥180 mg/dL, 2-hour ≥155 mg/dL, 3-hour ≥140 mg/dL",,,front,P6-P9,active,False,Gestational Diabetes,,"Gynecologic, Sexual, and Reproductive Health > Prenatal Care/Pregnancy – 20% > Gestational diabetes"
